Tx Index,Date,Asset,Amount (asset),Sell price ($),Buy price ($),Type,Account number,Entity,Notes,Remaining
0,9/4/2024,USD,-1250,1,,Buy,TD Ameritrade,,,
0,9/4/2024,NVDA,10,,125,Buy,TD Ameritrade,,,
0,9/4/2024,feeUSD,-10,1,,Buy,TD Ameritrade,,,
1,9/4/2024,NVDA,-4,130,,Sell,TD Ameritrade,,,
1,9/4/2024,USD,520,,1,Sell,TD Ameritrade,,,
1,9/4/2024,feeUSD,-1,1,,Sell,TD Ameritrade,,,
2,9/5/2024,USD,-1000,1,,Buy,TD Ameritrade,,,
2,9/5/2024,TSLA,25,,40,Buy,TD Ameritrade,,,
2,9/5/2024,feeUSD,-5,1,,Buy,TD Ameritrade,,,
3,9/5/2024,USD,-1000,1,,Buy,TD Ameritrade,,,
3,9/5/2024,NVDA,10,,100,Buy,TD Ameritrade,,,
3,9/5/2024,feeUSD,-7.5,1,,Buy,TD Ameritrade,,,
4,10/4/2024,USD,-50,1,,Buy,TD Ameritrade,,,
4,10/4/2024,TSLA,1,,50,Buy,TD Ameritrade,,,
4,10/4/2024,feeUSD,-1.5,1,,Buy,TD Ameritrade,,,
4,10/4/2024,feeTSLA,-1,50,,Buy,TD Ameritrade,,,
5,10/4/2024,TSLA,-5,50,,Exchange,TD Ameritrade,,,
5,10/4/2024,NVDA,1.8,,138.888888888889,Exchange,TD Ameritrade,,,
5,10/4/2024,feeNVDA,-0.1,138.888888888889,,Exchange,TD Ameritrade,,,
6,10/4/2024,NVDA,5,,,Transfer,TD Ameritrade-Robin Hood,,,
6,10/4/2024,feeNVDA,-0.05,130,,Transfer,TD Ameritrade,,,
7,10/4/2024,NVDA,-7,131,,Sell,TD Ameritrade,,,
7,10/4/2024,USD,917,,1,Sell,TD Ameritrade,,,
7,10/4/2024,feeUSD,-5,1,,Sell,TD Ameritrade,,,
8,10/4/2024,TSLA,-20,48,,Sell,TD Ameritrade,,,
8,10/4/2024,USD,960,,1,Sell,TD Ameritrade,,,
8,10/4/2024,feeUSD,-5,1,,Sell,TD Ameritrade,,,
